Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Hartford,312077008,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00100 VAN DYKE AVE,STATE OF CONN DEPT OF TRANS,0.25,2872/272,"$36,820",$0,"$36,820","$36,820",POINT (-72.66035091 41.754586842)
Cheshire,00858900,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BETHANY MTN RD,CONNECTICUT STATE OF CHESHIR,74.9,832/292,"$12,580",$0,"$12,580","$12,580",POINT (-72.942642471 41.472410717)
Branford,11138,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 PLEASANT POINT RD,CONNECTICUT STATE OF WETLANDS,53.77,0/0,"$41,000",$0,"$41,000","$41,000",POINT (-72.764835192 41.273976601)
East Haddam,00102500,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 HOPYARD RD,CONN STATE OF,11.48,254/334,"$2,410",$0,"$2,410","$2,410",POINT (-72.337746636 41.466636713)
Chaplin,C001122,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PUMPKIN HILL RD,CONNECTICUT STATE OF,446,32/263,"$991,600",$0,"$991,600","$991,600",POINT (-72.126579805 41.819584212)
Hamden,2524005000000,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00130 PARADISE AVE,CONNECTICUT STATE OF,12.88,566/755,"$144,480",$0,"$144,480","$144,480",POINT (-72.941316274 41.370359114)
Hartford,225438107,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00231 CAPITOL AVE,STATE OF CONN LIBRARY,4.76,339/404,"$784,490","$35,775,110","$36,559,600","$36,559,600",POINT (-72.683087994 41.762343991)
Danbury,C14023,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 OLD MILL PLAIN RD,STATE OF CONNECTICUT,0.27,217/19,"$30,240",$0,"$30,240","$30,240",POINT (-73.51687658 41.395127276)
Harwinton,574,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PLYMOUTH RD,CONNECTICUT STATE OF,265.37,93/293,"$44,590",$0,"$44,590","$44,590",POINT (-73.041612303 41.735760887)
Easton,00037700,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 VALLEY ROAD,STATE OF CONNECTICUT,130.23,383/138,"$35,560",$0,"$35,560","$35,560",POINT (-73.326475184 41.277730641)
Griswold,00533200,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00215 SHELDON RD,CONNECTICUT STATE OF,6.02,218/127,"$119,070",$210,"$119,280","$119,280",POINT (-71.87736699 41.55895799)
East Lyme,7591,OCBX,"Correction (State prison, jail, reformatory, any others)",N BRIDE BROOK RD,CONNECTICUT STATE OF,1.29,0167 0071,"$66,430",$0,"$66,430","$66,430",POINT (-72.246921008 41.345781738)
Canaan,14105069,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 MANSFIELD ROAD,CONNECTICUT STATE OF,592.82,27/494,"$1,931,600",$0,"$1,931,600","$1,931,600",POINT (-72.24121 41.80102)
Goshen,00161600,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 PARK ROAD,CONNECTICUT STATE OF,0.17,36/253,"$123,900","$5,950","$129,850","$129,850",POINT (-73.26815403 41.838397184)
Durham,C0053101,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 OLD BLUE HILLS RD,CONNECTICUT STATE OF,6.48,226/740,"$90,020",$0,"$90,020","$90,020",POINT (-72.662828883 41.460141684)
Greenwich 1,08-4608/S,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RIVER ROAD,CONNECTICUT STATE OF,0.46,0/0,"$1,041,320",$0,"$1,041,320","$1,041,320",POINT (-73.666820002 41.037787358)
East Lyme,7570,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",HOLMES RD,CONNECTICUT STATE OF,66.69,0119 0614,"$6,540",$0,"$6,540","$6,540",POINT (-72.2513243 41.438191461)
Canaan,14105081,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 RT 126,CONNECTICUT STATE OF,10,46/391,"$95,700",$0,"$95,700","$95,700",POINT (-73.356198217 42.003856227)
East Haddam,00000850,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 CONN RIVER RD,CONN STATE OF,0.03,1039/227,"$12,370",$0,"$12,370","$12,370",POINT (-72.433862853 41.435694182)
Groton,169818323233 EB13,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",285 TOWER AVE,CONNECTICUT AIRPORT AUTHORITY,0,1117/669,$0,"$53,900","$53,900","$53,900",POINT (-72.041364038 41.336651981)
