ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Unnamed_Column_11,Unnamed_Column_12
13509958,JH323913,06/27/2024 03:58:00 PM,087XX S SANGAMON ST,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,2222,022
13518059,JH333005,07/01/2024 12:00:00 AM,031XX N KENMORE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1933,019
13511958,JH326199,06/29/2024 12:18:00 PM,078XX S JEFFERY BLVD,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,0414,004
13511732,JH325939,06/28/2024 04:30:00 PM,038XX W MADISON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,GROCERY FOOD STORE,False,False,1122,011
13512935,JH327458,06/30/2024 02:32:00 AM,039XX W HURON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1122,011
13514239,JH329006,06/30/2024 10:00:00 AM,012XX W AUGUSTA BLVD,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,True,1213,012
13512570,JH326896,06/29/2024 10:37:00 PM,058XX S MAPLEWOOD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,0824,008
13514009,JH328686,06/29/2024 06:30:00 PM,037XX W CONGRESS PKWY,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,PARK PROPERTY,False,False,1133,011
13512426,JH326801,06/29/2024 08:00:00 PM,049XX W HARRISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1533,015
13510332,JH324278,06/27/2024 07:30:00 PM,025XX W LOGAN SD,0810,THEFT,OVER $500,STREET,False,False,1431,014
13510328,JH324268,06/27/2024 06:00:00 PM,006XX W MONTROSE DR,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1915,019
13512703,JH326184,06/28/2024 10:30:00 PM,0000X S AUSTIN BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1513,015
13512513,JH325815,06/29/2024 03:30:00 AM,012XX W 87TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,0613,006
13513460,JH327776,06/30/2024 12:00:00 AM,090XX S WALLACE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2223,022
13513511,JH328064,06/30/2024 09:05:00 PM,031XX N CLARK ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,1933,019
13515162,JH329928,06/30/2024 12:00:00 AM,071XX S WOODLAWN AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,True,0324,003
13513189,JH327763,06/29/2024 09:00:00 PM,062XX N WINTHROP AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2433,024
13512576,JH326908,06/29/2024 10:50:00 PM,001XX N LARAMIE AVE,0820,THEFT,$500 AND UNDER,PARK PROPERTY,False,False,1523,015
13512749,JH327186,06/30/2024 06:45:00 AM,033XX W MADISON ST,2027,NARCOTICS,POSSESS - CRACK,CTA BUS STOP,True,False,1124,011
13511219,JH324215,06/27/2024 08:25:00 PM,057XX S HONORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,True,0715,007
13511488,JH325524,06/28/2024 07:45:00 PM,021XX N ASHLAND AVE,0810,THEFT,OVER $500,GROCERY FOOD STORE,False,False,1432,014
13511225,JH325254,06/28/2024 02:26:00 PM,011XX S CLINTON ST,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,0124,001
13513526,JH328089,06/30/2024 09:30:00 PM,005XX W 62ND ST,0810,THEFT,OVER $500,STREET,False,False,0711,007
13513640,JH328166,06/30/2024 11:39:00 PM,051XX W QUINCY ST,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,STREET,False,False,1533,015
13509930,JH323759,06/27/2024 02:35:00 PM,042XX W FERDINAND ST,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,1111,011
13513302,JH327869,06/30/2024 05:50:00 PM,002XX W 69TH ST,0560,ASSAULT,SIMPLE,NURSING / RETIREMENT HOME,False,False,0731,007
13510763,JH324697,06/28/2024 09:45:00 AM,072XX S PHILLIPS AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,False,True,0334,003
13512225,JH326445,06/29/2024 03:50:00 PM,106XX S HAMILTON AVE,4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,RESIDENCE,False,False,2212,022
13511869,JH326129,06/29/2024 06:15:00 AM,024XX S DRAKE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,1024,010
13512254,JH326631,06/29/2024 06:00:00 PM,003XX E ERIE ST,0820,THEFT,$500 AND UNDER,PARKING LOT / GARAGE (NON RESIDENTIAL),False,True,1834,018
13510311,JH324213,06/27/2024 08:18:00 PM,029XX W HARRISON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1135,011
13513575,JH328185,06/30/2024 11:52:00 PM,048XX S SHIELDS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,False,False,0935,009
13513395,JH327935,06/29/2024 12:20:00 PM,013XX W FULLERTON AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,1811,018
13515609,JH328010,06/30/2024 06:43:00 PM,081XX S BISHOP ST,1330,CRIMINAL TRESPASS,TO LAND,SCHOOL - PUBLIC BUILDING,False,False,0614,006
13513534,JH327095,06/30/2024 12:00:00 AM,015XX W FULTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1215,012
13513324,JH327876,06/30/2024 05:49:00 PM,028XX S SACRAMENTO AVE,0460,BATTERY,SIMPLE,PARK PROPERTY,False,False,1033,010
13513259,JH327868,06/30/2024 12:00:00 PM,001XX S HAMLIN BLVD,0810,THEFT,OVER $500,STREET,False,False,1122,011
13513086,JH327614,06/30/2024 01:30:00 PM,006XX N ST CLAIR ST,0820,THEFT,$500 AND UNDER,RESTAURANT,False,False,1834,018
