Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,"$60,695.9736",$368.05,$0,14
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,"$44,754.6895","$1,577.22",$0,12
ABS,Alcohol Beverage Services,ABS 85 Stock Liquor and Wine Warehouse Operations,M,"$49,230",$684.2,$0,12
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,"$99,335.0745","$1,540.34",$0,22
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,M,"$175,861.23",$0,$0,M2
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,M,"$68,435.09",$871.21,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$59,006.7205","$2,195.05",$0,15
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,"$90,375.0561",$0,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,"$86,103",$0,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,M,"$95,577.7529","$2,181.56",$0,N21
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,"$62,781.9443","$1,056.16",$0,14
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$52,641.5788",$971.42,$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$66,572","$5,333.48","$5,338.64",12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$82,436","$16,835.31",$0,N17
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$61,240","$5,294.68",$995.18,10
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,"$85,408.7344","$2,287.24",$0,N18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,"$117,424",$0,$0,N25
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,"$45,974.7317","$3,165.35",$0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$46,425.4721","$2,092.35",$0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$42,277.68","$2,052.65",$0,10
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,"$21,862",$0,$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$66,572","$3,137.14","$5,218.63",12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$68,888.9515","$7,059.41",$0,15
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$44,693.4084","$1,000.49",$0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$61,240",$92.35,"$4,827.4",10
ABS,Alcohol Beverage Services,ABS 85 Montrose,M,"$65,240.88","$2,650.46",$0,14
