Date,Positive COVID-19 tests - daily,Deaths - daily,Tests - daily,Positive COVID-19 tests - cumulative,Deaths - cumulative,Tests - cumulative
10/21/2020,734,8,"32,118","67,602","4,617","2,382,758"
02/23/2022,386,6,"16,709","729,550","10,738","15,227,708"
01/14/2022,"5,632",38,"32,397","666,376","9,837","14,412,248"
09/03/2020,165,2,"22,049","53,492","4,503","1,359,398"
03/21/2021,723,6,"14,864","300,616","7,962","7,534,298"
03/20/2021,903,5,"16,483","299,893","7,956","7,519,434"
03/05/2022,188,2,"6,220","732,393","10,781","15,354,480"
05/11/2020,635,56,"6,168","36,258","3,323","156,811"
10/04/2021,603,3,"34,230","395,177","8,696","11,498,354"
11/18/2021,"1,032",7,"27,102","418,253","8,912","12,519,261"
02/25/2022,184,4,"8,630","730,163","10,746","15,254,645"
10/06/2021,485,5,"29,359","396,169","8,705","11,561,683"
06/28/2021,61,0,"13,271","349,883","8,358","9,765,321"
06/07/2022,701,0,"10,344","814,101","11,008","16,484,783"
11/30/2020,"2,698",29,"42,841","128,505","5,195","3,721,899"
11/21/2021,607,3,"13,799","420,483","8,920","12,572,627"
06/19/2021,35,0,"6,273","349,481","8,353","9,671,660"
03/13/2021,662,10,"13,843","292,490","7,906","7,292,794"
01/02/2022,"6,339",23,"29,133","567,376","9,428","13,943,701"
06/20/2022,693,0,"9,920","821,706","11,034","16,594,508"
09/28/2021,499,5,"26,265","392,444","8,667","11,352,458"
03/28/2021,833,6,"16,209","309,926","8,007","7,791,884"
01/25/2021,"1,979",23,"58,956","247,963","7,179","5,733,280"
05/18/2021,231,4,"24,925","346,764","8,306","9,264,078"
03/25/2021,"1,453",8,"42,981","306,519","7,993","7,721,465"
01/01/2022,"3,141",23,"12,293","561,037","9,405","13,914,568"
04/11/2022,919,3,"16,554","748,387","10,848","15,798,589"
01/06/2022,"10,041",23,"46,433","615,494","9,548","14,145,432"
03/18/2021,"1,238",6,"36,868","297,835","7,944","7,470,240"
03/11/2022,273,5,"12,700","734,094","10,797","15,436,426"
03/01/2022,333,2,"17,416","731,341","10,766","15,304,932"
10/22/2020,705,7,"33,460","68,307","4,624","2,416,218"
07/18/2020,49,1,"3,972","48,542","4,446","717,007"
