Docket or petition number,Town,Address,User,Tower type,Antenna height,Tower height,Antennas,5G services,Backup power type
,Bloomfield,**** Blue Hills Avenue,AT&T Wireless,self-support lattice,,125,,,
Bolton,*** Vernon Road,SNET/SCLP,guyed-lattice,188,280,,,,
Branford,***-*** North Main Street,BAM,monopole,108,110,,,,
Branford,***-*** North Main Street,Verizon,monopole,"96, 105",110,,,,
Colchester,*** Route **,Enertrac,monopole,169,180,,,,
East Hartford,*** Roberts Street Rear,Sprint,monopole,"110.00, 70.00",124,,,,
Cheshire,**** Highland Avenue,Verizon,silo,70,78,,,natural gas generator,35 kW
Bolton,*** Vernon Road,Sprint,guyed-lattice,148,280,,,,
Cornwall,** Bell Road Extension,,monopole,,110,,,,
,Ansonia,** Birchwood Drive,MetroPCS,guyed-lattice,51,60,,,
Cheshire,**** Cheshire Street,DISH,monopole,124,170,,yes,,
,Ashford,** Janoski Road,AT&T,self-support lattice,n/a,190,,,diesel generator
Bridgeport,**** Trumbull Avenue,Sprint,self-support lattice,,240,,,fuel cell backup,
Burlington,** Nepaug Road,AT&T,monopole,,120,,,diesel generator,
East Hartford,*** Roberts Street Rear,Sprint,monopole,128,130,,,,
,Berlin,*** Beckley Road,Pocket (now MetroPCS),monopole,142,150,,,
Bristol,*** Terryville Avenue,T-Mobile,monopole,130,170,,,,
Chaplin,*** Palmer Road,Sprint,monopole,137,150,,,,
Brookfield,* Huckleberry Hill Road,AT&T,monopole,57,60,,,,
,Ashford,** Knowlton Hill Road,AT&T,monopole,137,150,,,
Branford,*** West Main Street,Verizon,monopole,110,120,,,,
Brookfield,** Carmen Hill Road,Clearwire,guyed-lattice,"155, 200",455,,,,
Brookfield,*** Park Ridge Road,Sprint,utility pole,135,125,,,,
Cheshire,*** Higgins Road,Sprint,self-support lattice,225,250,,,,
Columbia,*** Route ** South,Cingular,monopole,150,148,,,,
,Avon,*** Deercliff Road,Marcus,guyed-lattice,280,560,,,
Brookfield,** Carmen Hill Road,T-Mobile,guyed-lattice,280,455,,,,
,Berlin,*** Kensington Road,Nextel,monopole,118,190,,,
,Berlin,*** Beckley Road,Cingular/AT&T,monopole,,150,,,
East Haddam,*** Parker Road,AT&T,guyed-lattice,,,,,diesel generator,30-kilowatt
East Granby,** South Main Street,DISH,monopole,48,98,,yes,,
Brooklyn,** Tiffany Street,AT&T,water tank,130,130,,,,
Canton,*** Dyer Avenue,T-Mobile,monopole,65,68,,,,
,Ansonia,* Deerfield Lane,Dish,monopole,117,169,,,
Branford,** Acorn Road,Cingular,monopole,105,150,,,,
Darien,*** Ledge Road,AT&T,monopole,89,117,,,,
Danbury,** Sugar Hollow Road,AT&T,monopole,108,106,,yes,,
Deep River,*** Winthrop Road,Verizon,monopole,178,180,,,propane generator,
Bolton,*** Vernon Road,T-Mobile,guyed-lattice,226,280,,,,
,Avon,** Redwood Lane,MetroPCS,monopole,,105,,,
Bozrah,Polly Lane,T-Mobile,guyed-lattice,182,185,,,,
,Bethel,** Codfish Hill Road,North Atlantic Towers,,,,,,
,Berlin,*** Beckley Road,American Tower Corporation,monopole,,150,,,
Bristol,*** Farmington Avenue,T-Mobile,monopole,115,120,,,,
Cheshire,*** Highland Avenue,Nextel,monopole,108,160,,,,
Danbury,** Lake Avenue Extension,AT&T,utility Pole,"30, 22",25,,yes,,
Danbury,** Newtown Road,AT&T,monopole,108,96,,,,
Bozrah,Polly Lane,AT&T,guyed-lattice,164,185,,,,
,Beacon Falls,*** Rimmon Hill Road,AT&T,monopole,157,173,,,
Docket No. 173,Beacon Falls,*** Rimmon Hill Road,SCLP,monopole,160,160,,,
Bozrah,Polly Lane,SCLP,guyed-lattice,160,185,,,,
Colchester,** Old Hartford Road,Omni,self-support lattice,97,100,,,,
,Barkhamsted,** New Hartford Road,Verizon,monopole,104,144,,,
Bozrah,Polly Lane,BAM,guyed-lattice,138,185,,,,
Cheshire,*** Academy Road,Verizon,Monopine,90,95,,yes,propane generator,30-kilowatt
,Bloomfield,**** Blue Hills Avenue,Clearwire,self-support lattice,120,130,,,
Colchester,*** Route **,Verizon,monopole,161,180,,,propane generator,15 kilowatt
,Ashford,** Janoski Road,Verizon,self-support lattice,180,192,,,diesel generator
,Barkhamsted,** New Hartford Road,T-Mobile,monopole,101,144,,,
Bridgeport,*** Kaechele Place,Cingular,monopole,155,156,,,,
Brookfield,* Huckleberry Hill Road,Cingular,monopole,"51, 57",60,,,,
Columbia,*** Route ** South,Cingular,monopole,,148,,,,
Bolton,*** Vernon Road,T-Mobile,guyed-lattice,130,150,,,,
Bolton,** South Street,Verizon,monopole,107,120,,,,
East Granby,** South Main Street,Verizon,monopole,67,98,,,,
Bridgeport,*** Pine Street,T-Mobile,self-support lattice,184,250,,,,
,Bethel,* Stony Hill Road,AT&T,utility pole,top,141,,,
Bridgeport,*** Pine Street,Sprint Nextel,self-support lattice,240,250,,,,
Colchester,** Westchester Road,Verizon,monopole,167,180,,,,
Coventry,*** Main Street,Verizon,monopole,100,102,,,,
Bozrah,Polly Lane,Verizon,guyed-lattice,136,185,,,,
,Beacon Falls,*** Lopus Road,New Cingular,monopole,145,150,,,
,Beacon Falls,*** Rimmon Hill Road,AT&T,monopole,159,173,,,
Bloomfield,* Hoskins Road,SCLP,self-support lattice,161,180,,,,
Derby,** Pleasant View Road,n/a,monopole,n/a,120,,,,
East Granby,** South Main Street,T-Mobile,monopole,90,98,,,BBU,
,Ashford,** Knowlton Hill Road,New Cingular,monopole,137,150,,,
Branford,** Acorn Road,Nextel,monopole,120,150,,,,
Bridgeport,**** Trumbull Avenue,Verizon,self-support lattice,155,240,,,,
Branford,** Acorn Road,Verizon,monopole,116,150,,,,
Colchester,Chestnut Hill Road,Cingular,monopole,185,180,,,,
Bridgeport,**** Trumbull Avenue,MetroPCS New York,self-support lattice,210,240,,,,
Bridgeport,*** Pine Street,T-Mobile,self-support lattice,180,250,,,,
Bloomfield,*** Park Avenue,Verizon,monopole,105,140,,,,
Colebrook,*** Colebrook River Road,Nextel,monopole,148,150,,,,
,Bethel,** Spring Hill Lane,n/a,monopole,n/a,125,,,
East Hampton,** East High Street,Eversource,self-support lattice,various,120,,,,
Bolton,*** Vernon Road,BAM,guyed-lattice,120,280,,,,
Chaplin,*** Palmer Road,T-Mobile,monopole,117,150,,,,
,Bloomfield,**** Blue Hills Avenue,T-Mobile,self-support lattice,125,130,,,
Branford,***-*** North Main Street,T-Mobile,monopole,147,147,,yes,,
Cromwell,*** West Street,T-Mobile (MetroPCS),monopole,75,77,,,,
,Barkhamsted,** New Hartford Road,Sprint,monopole,140,144,,,
Clinton,** Meadow Road,Verizon,self-support lattice,162,195,,,,
,Barkhamsted,** New Hartford Road,AT&T,monopole,,144,,,diesel generator
Chaplin,*** Palmer Road,Sprint,monopole,120,150,,,,
Branford,***-*** North Main Street,Verizon,monopole,96,110,,,,
Bridgeport,**** Trumbull Avenue,AT&T,self-support lattice,164,240,,,,
Cromwell,*** Berlin Road,AT&T,self-support lattice,98,111,,,,
Brooklyn,*** Grant Hill Road,Cingular,monopole,,150,,,,
Danbury,** Hospital Avenue,Sprint,rooftop,"131, 155",185,,,,
Cornwall,Mohawk Mountain Road,NECS,self-support lattice,105,180,,,,
East Granby,** South Main Street,Sprint,monopole,n/a,97,,,,
,Bethany,* Meyers Road,DISH,self-support lattice,140,338,,yes,
